"Hash","LongName","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","HCPL","HDIF","HEFF","HNDB","HPL","HPV","HTRP","HVOL","MI","MIMS","MISEI","MISM","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Implementation Rules","Code Size Rules","Comment Rules","Controversial Rules","Coupling Rules","Design Rules","Empty Code Rules","Finalizer Rules","Import Statement Rules","J2EE Rules","JUnit Rules","Jakarta Commons Logging Rules","Java Logging Rules","JavaBean Rules","MigratingToJUnit4 Rules","Migration Rules","Migration13 Rules","Migration14 Rules","Migration15 Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules","Number of Bugs"
"56f4df896682733c9979b348e46ba77494851304","com.nostra13.universalimageloader.core.DefaultConfigurationFactory.createReserveDiscCache(Ljava/io/File;)Lcom/nostra13/universalimageloader/cache/disc/DiscCacheAware;","0","0","0","0","0","0","0","0","100.362","17.6429","3565.96","233.409","43","26","198.109","202.119","111.18","65.0177","118.358","69.2154","3","1","1","1","1","0.222222","2","1","0.222222","2","7","7","4","1","7","7","4","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"56f4df896682733c9979b348e46ba77494851304","com.nostra13.universalimageloader.core.ImageLoadingInfo.<init>(Ljava/lang/String;Lcom/nostra13/universalimageloader/core/imageaware/ImageAware;Lcom/nostra13/universalimageloader/core/assist/ImageSize;Ljava/lang/String;Lcom/nostra13/universalimageloader/core/DisplayImageOptions;Lcom/nostra13/universalimageloader/core/assist/ImageLoadingListener;Ljava/util/concurrent/locks/ReentrantLock;)V","0","0","0","0","0","0","0","0","101.623","8.8","2510.58","184.721","60","27","139.477","285.293","105.777","61.8577","77.0044","45.0318","1","0","0","1","0","0","0","0","0","0","9","9","7","7","9","9","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"56f4df896682733c9979b348e46ba77494851304","com.nostra13.universalimageloader.core.display.FadeInBitmapDisplayer.animate(Landroid/view/View;I)V","0","0","0","0","0","0","0","0","106.09","18.5714","3885.42","247.149","44","27","215.857","209.215","109.068","63.7822","124.307","72.6939","2","1","1","2","0","0.428571","6","6","0.428571","6","8","8","5","2","8","8","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"a3a6db9ef3531b23100e8f786d87dcba833c60f8","com.nostra13.universalimageloader.core.download.BaseImageDownloader.connectTo(Ljava/lang/String;)Ljava/net/HttpURLConnection;","0","0","0","0","0","0","0","0","106.09","18.5714","4503.56","272.712","51","27","250.198","242.499","108.53","63.4678","80.9764","47.3546","1","0","0","1","0","0","0","0","0","0","8","8","6","1","8","8","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"861ddfe6fc1e8db349bc90fa10a94370daf8076d","com.nostra13.universalimageloader.core.DisplayBitmapTask.run()V","0","0","0","0","0","0","0","0","107.541","12.3636","3209.57","217.586","54","28","178.309","259.597","102.327","59.8401","72.3325","42.2997","4","2","2","0","6","0","0","0","0","0","11","11","9","0","11","11","9","0","0","0","0","4","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"a3a6db9ef3531b23100e8f786d87dcba833c60f8","com.nostra13.universalimageloader.core.download.NetworkDeniedImageDownloader.getStream(Ljava/lang/String;Ljava/lang/Object;)Ljava/io/InputStream;","0","0","0","0","0","0","0","0","107.748","15.75","2621.13","190.105","35","27","145.618","166.421","106.413","62.2296","78.1256","45.6875","3","1","1","0","2","0","0","0","0","0","10","10","3","2","10","10","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12778d31c9cc34c91527ec80ebf6f63479bcbfbe","com.nostra13.universalimageloader.core.DisplayBitmapTask.run()V","0","0","0","0","0","0","0","0","109.24","12.6667","2922.87","204.428","48","28","162.382","230.753","104.713","61.2357","75.6737","44.2536","3","2","2","0","7","0","0","0","0","0","10","10","7","0","10","10","7","0","0","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"a3a6db9ef3531b23100e8f786d87dcba833c60f8","com.nostra13.universalimageloader.core.LoadAndDisplayImageTask.decodeImage(Ljava/lang/String;)Landroid/graphics/Bitmap;","0","0","0","0","0","0","0","0","110.439","16.25","3593.5","234.609","46","28","199.639","221.138","113.67","66.4736","88.3918","51.6911","1","0","0","1","6","0","0","0","0","0","6","6","4","1","6","6","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3d15b9472ead9087cb8290040b35990d1c299ec6","com.nostra13.universalimageloader.core.DisplayImageOptions$Builder.cloneFrom(Lcom/nostra13/universalimageloader/core/DisplayImageOptions;)Lcom/nostra13/universalimageloader/core/DisplayImageOptions$Builder;","0","0","0","0","0","0","0","0","110.439","5.8","1728.72","144.04","62","28","96.0403","298.056","100.889","58.9992","90.781","53.0883","1","0","0","1","0","0.0769231","1","1","0.0769231","1","12","12","10","1","12","12","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"a3a6db9ef3531b23100e8f786d87dcba833c60f8","com.nostra13.universalimageloader.core.download.SlowNetworkImageDownloader.getStream(Ljava/lang/String;Ljava/lang/Object;)Ljava/io/InputStream;","0","0","0","0","0","0","0","0","111.89","18","3547.83","232.617","41","28","197.102","197.102","103.989","60.8121","74.6287","43.6425","3","1","1","0","3","0","0","0","0","0","11","11","4","2","11","11","4","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
