"Hash","LongName","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","HCPL","HDIF","HEFF","HNDB","HPL","HPV","HTRP","HVOL","MI","MIMS","MISEI","MISM","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Implementation Rules","Code Size Rules","Comment Rules","Controversial Rules","Coupling Rules","Design Rules","Empty Code Rules","Finalizer Rules","Import Statement Rules","J2EE Rules","JUnit Rules","Jakarta Commons Logging Rules","Java Logging Rules","JavaBean Rules","MigratingToJUnit4 Rules","Migration Rules","Migration13 Rules","Migration14 Rules","Migration15 Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules","Number of Bugs"
"e0e9e773a8924285c658a018cec380556ff10515","org.mapdb.issues.Issue583Test$Value.getValue()I","0","0","0","0","0","0","0","0","10","2","31.0195","9.87242","6","6","1.72331","15.5098","138.717","81.121","124.527","72.8228","1","0","0","0","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"46a2e9543526d5010559fb4d951465ecc2289873","org.mapdb.Volume.isClosed()Z","0","0","0","0","0","0","0","0","10","2","31.0195","9.87242","6","6","1.72331","15.5098","138.717","81.121","124.527","72.8228","1","0","0","2","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0e69921beffcb93b06d03c9cc8e8836bd9eecc44","org.mapdb.jsr166Tests.ConcurrentSkipListMapTest.isReadOnly()Z","0","0","0","0","0","0","0","0","10","2","31.0195","9.87242","6","6","1.72331","15.5098","138.717","81.121","124.527","72.8228","1","0","0","6","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"b84df1ab7522f9d0e6161dee0cb0261cf8e07297","org.mapdb.Volume$ByteBufferVol.makeNewBuffer(J)Ljava/nio/ByteBuffer;","0","0","0","0","0","0","0","0","10","2","31.0195","9.87242","6","6","1.72331","15.5098","156.514","91.5289","150.203","87.8383","1","0","0","1","0","0","0","0","0","0","1","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"00a8930ff0dbd0cf3cc9520013037706899b867d","org.mapdb.DBException$FileLocked.<init>(Ljava/lang/String;)V","0","0","0","0","0","0","0","0","10","3","54.2842","14.3367","7","6","3.01579","18.0947","137.915","80.6522","123.371","72.1466","1","0","0","0","1","0","0","0","0","0","3","3","1","1","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"39b4ea3b1f720aa1cdbf2eb2880a749b06cfbf13","org.mapdb.issues.Issue571Test.testCommitSucceedsWhenUsingCustomValueSerializer()V","0","0","0","0","0","0","0","0","100.107","16.5","2420.86","180.293","32","24","134.492","146.719","118.757","69.4484","95.7308","55.9829","1","0","0","0","3","0","0","0","0","0","5","5","2","0","5","5","2","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"717b008da75918aae78156e9cb999af987f1e326","org.mapdb.TxEngine.snapshot()Lorg/mapdb/Engine;","0","0","0","0","0","0","0","0","100.239","13.125","2559.93","187.134","42","25","142.218","195.042","104.043","60.8441","74.7075","43.6886","3","2","2","6","3","0","0","0","0","0","11","11","7","0","11","11","7","0","0","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"8edaa511a9f5eb5548360681ac7baff277b981fd","org.mapdb.TxEngine.createSnapshotFor(Lorg/mapdb/Engine;)Lorg/mapdb/Engine;","0","0","0","0","0","0","0","0","100.239","26.25","5851.26","324.713","48","25","325.07","222.905","106.37","62.2046","78.1657","45.711","4","1","1","4","3","0","0","0","0","0","9","9","7","1","9","9","7","0","0","0","0","7","0","0","6","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"41e3e8059121314a64ef32611bad68ab176b8a8f","org.mapdb.TxEngine.createSnapshotFor(Lorg/mapdb/Engine;)Lorg/mapdb/Engine;","0","0","0","0","0","0","0","0","100.239","26.25","5973.16","329.207","49","25","331.842","227.549","106.263","62.1419","78.011","45.6205","4","1","1","4","3","0","0","0","0","0","9","9","7","1","9","9","7","0","0","0","0","7","0","0","6","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"f61cbbffd6b023b99f5d3c87c48bb57936adb823","org.mapdb.BTreeMap$BTreeValueIterator.next()Ljava/lang/Object;","0","0","0","0","0","0","0","0","100.362","12.2143","2009.44","159.239","35","26","111.635","164.515","112.481","65.7782","86.778","50.7474","2","1","1","0","2","0","0","0","0","0","7","7","5","0","7","7","5","0","0","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
