"Hash","LongName","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","HCPL","HDIF","HEFF","HNDB","HPL","HPV","HTRP","HVOL","MI","MIMS","MISEI","MISM","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Implementation Rules","Code Size Rules","Comment Rules","Controversial Rules","Coupling Rules","Design Rules","Empty Code Rules","Finalizer Rules","Import Statement Rules","J2EE Rules","JUnit Rules","Jakarta Commons Logging Rules","Java Logging Rules","JavaBean Rules","MigratingToJUnit4 Rules","Migration Rules","Migration13 Rules","Migration14 Rules","Migration15 Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules","Number of Bugs"
"29c2712ae1eee9575324db48c2f72c7cb0d28308","org.antlr.v4.test.rt.gen.ConcreteParserTestMethod.generateGrammars(LSTGroup;)V","0","0","0","0","0","0","0","0","10","2","31.0195","9.87242","6","6","1.72331","15.5098","138.717","81.121","124.527","72.8228","1","0","0","0","0","0","0","0","0","0","3","3","0","1","3","3","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9e5cda85edba2cd2acbbf352c428c6a84c8c8524","org.antlr.v4.runtime.Parser.isMatchedEOF()Z","0","0","0","0","0","0","0","0","10","2","31.0195","9.87242","6","6","1.72331","15.5098","138.717","81.121","124.527","72.8228","1","0","0","0","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"29c2712ae1eee9575324db48c2f72c7cb0d28308","org.antlr.v4.test.rt.gen.TestFile.getName()Ljava/lang/String;","0","0","0","0","0","0","0","0","10","2","31.0195","9.87242","6","6","1.72331","15.5098","138.717","81.121","124.527","72.8228","1","0","0","1","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"29c2712ae1eee9575324db48c2f72c7cb0d28308","org.antlr.v4.test.rt.java.BaseTest$FilteringTokenStream.<init>(Lorg/antlr/v4/runtime/TokenSource;)V","0","0","0","0","0","0","0","0","10","3","54.2842","14.3367","7","6","3.01579","18.0947","155.713","91.0601","149.047","87.162","1","0","0","0","1","0","0","0","0","0","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"29c2712ae1eee9575324db48c2f72c7cb0d28308","org.antlr.v4.test.rt.java.TestParserErrors.testSingleTokenDeletionDuringLoop2()V","0","0","0","0","0","0","0","0","101.409","7.42857","1200.95","112.984","34","27","66.7194","161.666","110.638","64.7007","84.0183","49.1335","1","0","0","0","1","0","0","0","0","0","8","8","4","0","8","8","4","0","0","0","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"29c2712ae1eee9575324db48c2f72c7cb0d28308","org.antlr.v4.test.rt.java.TestParserErrors.testMultiTokenDeletionDuringLoop2()V","0","0","0","0","0","0","0","0","101.409","7.42857","1200.95","112.984","34","27","66.7194","161.666","110.638","64.7007","84.0183","49.1335","1","0","0","0","1","0","0","0","0","0","8","8","4","0","8","8","4","0","0","0","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"29c2712ae1eee9575324db48c2f72c7cb0d28308","org.antlr.v4.test.rt.java.TestParserErrors.testSingleTokenDeletionExpectingSet()V","0","0","0","0","0","0","0","0","101.409","7.42857","1200.95","112.984","34","27","66.7194","161.666","110.638","64.7007","84.0183","49.1335","1","0","0","0","1","0","0","0","0","0","8","8","4","0","8","8","4","0","0","0","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"29c2712ae1eee9575324db48c2f72c7cb0d28308","org.antlr.v4.test.rt.java.TestParserErrors.testSingleTokenDeletion()V","0","0","0","0","0","0","0","0","101.409","7.42857","1200.95","112.984","34","27","66.7194","161.666","110.638","64.7007","84.0183","49.1335","1","0","0","0","1","0","0","0","0","0","8","8","4","0","8","8","4","0","0","0","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"29c2712ae1eee9575324db48c2f72c7cb0d28308","org.antlr.v4.test.rt.java.TestParserErrors.testMultiTokenDeletionDuringLoop()V","0","0","0","0","0","0","0","0","101.409","7.42857","1200.95","112.984","34","27","66.7194","161.666","110.638","64.7007","84.0183","49.1335","1","0","0","0","1","0","0","0","0","0","8","8","4","0","8","8","4","0","0","0","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"29c2712ae1eee9575324db48c2f72c7cb0d28308","org.antlr.v4.test.rt.java.TestParserErrors.testSingleTokenDeletionBeforeLoop()V","0","0","0","0","0","0","0","0","101.409","7.42857","1200.95","112.984","34","27","66.7194","161.666","110.638","64.7007","84.0183","49.1335","1","0","0","0","1","0","0","0","0","0","8","8","4","0","8","8","4","0","0","0","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
