"Hash","LongName","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","HCPL","HDIF","HEFF","HNDB","HPL","HPV","HTRP","HVOL","MI","MIMS","MISEI","MISM","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Implementation Rules","Code Size Rules","Comment Rules","Controversial Rules","Coupling Rules","Design Rules","Empty Code Rules","Finalizer Rules","Import Statement Rules","J2EE Rules","JUnit Rules","Jakarta Commons Logging Rules","Java Logging Rules","JavaBean Rules","MigratingToJUnit4 Rules","Migration Rules","Migration13 Rules","Migration14 Rules","Migration15 Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules","Number of Bugs"
"3b0fc229b3818b52dda4b6b863f9bca5dcfc4d86","com.cloudera.oryx.ml.MLUpdate.canPublishAdditionalModelData()Z","0","0","0","0","0","0","0","0","10","2","31.0195","9.87242","6","6","1.72331","15.5098","138.717","81.121","171.563","100.329","1","0","0","1","0","0.625","5","5","0.625","5","3","3","1","0","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"eff199ff1f6cad1b4ff13829dfb29ff4884d4c31","com.cloudera.oryx.app.batch.mllib.kmeans.AbstractKMeansEvaluation.evaluate(LJavaRDD;)D","0","0","0","0","0","0","0","0","10","2","36.1895","10.9409","7","6","2.01053","18.0947","155.713","91.0601","149.047","87.162","1","0","0","0","0","0","0","0","0","0","1","1","0","1","1","1","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"481ec44fd6a5d511ef42eddf47334a725d3a540c","com.cloudera.oryx.app.batch.mllib.kmeans.AbstractKMeansEvaluation.evaluate(LJavaRDD;)D","0","0","0","0","0","0","0","0","10","2","36.1895","10.9409","7","6","2.01053","18.0947","155.713","91.0601","149.047","87.162","1","0","0","0","0","0","0","0","0","0","1","1","0","1","1","1","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"518dc444be616e55a8aeb1bd047aaa411ae3281a","com.cloudera.oryx.example.ExampleServingModelManager.<init>(LConfig;)V","0","0","0","0","0","0","0","0","10","3","54.2842","14.3367","7","6","3.01579","18.0947","137.915","80.6522","123.371","72.1466","1","0","0","0","1","0","0","0","0","0","3","3","1","1","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"518dc444be616e55a8aeb1bd047aaa411ae3281a","com.cloudera.oryx.lambda.serving.MockServingModelManager.<init>(LConfig;)V","0","0","0","0","0","0","0","0","10","3","54.2842","14.3367","7","6","3.01579","18.0947","137.915","80.6522","123.371","72.1466","1","0","0","0","1","0","0","0","0","0","3","3","1","1","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"518dc444be616e55a8aeb1bd047aaa411ae3281a","com.cloudera.oryx.lambda.serving.AbstractServingTest$AbstractMockServingModelManager.<init>(LConfig;)V","0","0","0","0","0","0","0","0","10","3","54.2842","14.3367","7","6","3.01579","18.0947","137.915","80.6522","123.371","72.1466","1","0","0","4","1","0","0","0","0","0","3","3","1","1","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8de37c9b69a6688bc4af8f1d3601161a942aff58","com.cloudera.oryx.common.lang.JVMUtils.closeAtShutdown(Ljava/io/Closeable;)V","0","0","0","0","0","0","0","0","100.362","13.5714","2296.5","174.065","36","26","127.583","169.216","108.033","63.1771","121.982","71.3346","3","2","2","4","1","0.4","6","6","0.4","6","9","9","4","1","9","9","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"eff199ff1f6cad1b4ff13829dfb29ff4884d4c31","com.cloudera.oryx.app.batch.mllib.kmeans.KMeansEvalIT.testSilhouetteCoefficientForClustering()V","0","0","0","0","0","0","0","0","100.362","16.2857","3444.75","228.089","45","26","191.375","211.52","109.241","63.8834","82.0018","47.9543","1","0","0","0","5","0","0","0","0","0","8","8","5","0","8","8","5","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"eff199ff1f6cad1b4ff13829dfb29ff4884d4c31","com.cloudera.oryx.app.batch.mllib.kmeans.KMeansEvalIT.testDunnIndexForClustering()V","0","0","0","0","0","0","0","0","100.362","16.2857","3444.75","228.089","45","26","191.375","211.52","109.241","63.8834","82.0018","47.9543","1","0","0","0","5","0","0","0","0","0","8","8","5","0","8","8","5","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"eff199ff1f6cad1b4ff13829dfb29ff4884d4c31","com.cloudera.oryx.app.batch.mllib.kmeans.KMeansEvalIT.testDaviesBouldinIndexForClustering()V","0","0","0","0","0","0","0","0","100.362","16.2857","3444.75","228.089","45","26","191.375","211.52","109.241","63.8834","82.0018","47.9543","1","0","0","0","5","0","0","0","0","0","8","8","5","0","8","8","5","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
