"Hash","LongName","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","HCPL","HDIF","HEFF","HNDB","HPL","HPV","HTRP","HVOL","MI","MIMS","MISEI","MISM","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Implementation Rules","Code Size Rules","Comment Rules","Controversial Rules","Coupling Rules","Design Rules","Empty Code Rules","Finalizer Rules","Import Statement Rules","J2EE Rules","JUnit Rules","Jakarta Commons Logging Rules","Java Logging Rules","JavaBean Rules","MigratingToJUnit4 Rules","Migration Rules","Migration13 Rules","Migration14 Rules","Migration15 Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules","Number of Bugs"
"8ed7a34830b0a78e03142c2f4be6ea9d63b30fa8","com.thinkaurelius.titan.graphdb.idmanagement.IDPoolTest$441498#.supportsInterruption()Z","0","0","0","0","0","0","0","0","10","2","31.0195","9.87242","6","6","1.72331","15.5098","130.441","76.2816","112.588","65.8411","1","0","0","0","0","0","0","0","0","0","5","5","1","0","5","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"854139c3e9bb3a63ed124e1403d1227aba7632e1","com.thinkaurelius.titan.graphdb.configuration.GraphDatabaseConfiguration.getConfiguration()Lcom/thinkaurelius/titan/diskstorage/configuration/Configuration;","0","0","0","0","0","0","0","0","10","2","31.0195","9.87242","6","6","1.72331","15.5098","138.717","81.121","124.527","72.8228","1","0","0","1","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3247d28161a1c089cb463c208ae21c5129eee1af","com.thinkaurelius.titan.graphdb.database.cache.MetricInstrumentedSchemaCache$107408#.retrieveSchemaByName(LString;)LLong;","0","0","0","0","0","0","0","0","10","2","41.3594","11.9596","8","6","2.29774","20.6797","128.946","75.4067","110.43","64.579","1","0","0","0","0","0","0","0","0","0","5","5","2","1","5","5","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9a49faa3669fc2c03e458c7999ecf095e0b0725d","com.thinkaurelius.titan.util.stats.IntegerDoubleFrequency.<init>()V","0","0","0","0","0","0","0","0","10","2","41.3594","11.9596","8","6","2.29774","20.6797","132.56","77.5207","115.645","67.6288","1","0","0","0","0","0","0","0","0","0","4","4","2","0","4","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"55d73740c60812fa57864c07f01e08b09a4504f4","com.thinkaurelius.titan.graphdb.TitanEventualGraphTest.<init>(LConfiguration;)V","0","0","0","0","0","0","0","0","10","3","54.2842","14.3367","7","6","3.01579","18.0947","137.915","80.6522","123.371","72.1466","1","0","0","1","1","0","0","0","0","0","3","3","1","1","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ed88d7286080492045efafb45a69fa4cb6eeb94d","com.thinkaurelius.titan.graphdb.query.SimpleTitanQuery.<init>(Lcom/thinkaurelius/titan/graphdb/vertices/InternalTitanVertex;)V","0","0","0","0","0","0","0","0","10","3","54.2842","14.3367","7","6","3.01579","18.0947","137.915","80.6522","123.371","72.1466","1","0","0","27","1","0","0","0","0","0","3","3","1","1","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ed88d7286080492045efafb45a69fa4cb6eeb94d","com.thinkaurelius.titan.graphdb.query.SimpleAtomicQuery.has(Ljava/lang/String;Ljava/lang/Object;)Lcom/thinkaurelius/titan/graphdb/query/AtomicQuery;","0","0","0","0","0","0","0","0","100.362","16.2857","3062","210.865","40","26","170.111","188.018","109.393","63.9725","82.4254","48.202","3","2","2","0","2","0","0","0","0","0","8","8","6","2","8","8","6","0","0","0","0","3","0","0","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"63f50c66dd4ec7a3e6882886f4aee674552564e4","com.thinkaurelius.titan.diskstorage.Backend.getOptionForShorthand(Ljava/lang/String;)Lcom/thinkaurelius/titan/diskstorage/configuration/ConfigOption;","0","0","0","0","0","0","0","0","100.362","19","4018.88","252.776","45","26","223.271","211.52","104.936","61.3659","76.0966","44.5009","4","2","2","0","1","0","0","0","0","0","10","13","7","1","10","13","7","0","1","0","0","6","0","0","4","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"99d0fe408262931e0a936d850deafa101862a483","com.thinkaurelius.titan.graphdb.transaction.AbstractTitanTx.deleteVertex(Lcom/thinkaurelius/titan/graphdb/vertices/InternalTitanVertex;)V","0","0","0","0","0","0","0","0","100.362","20.3571","4880.06","287.707","51","26","271.115","239.722","101.561","59.3925","71.1265","41.5944","3","2","2","0","4","0","0","0","0","0","12","12","8","1","12","12","8","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"4bc081be419e372fa611b672481294033f98f4aa","com.thinkaurelius.titan.graphdb.TitanGraphTest.testThreadBoundTx()V","0","0","0","0","0","0","0","0","1005.55","27.6721","100544","2162.24","500","154","5585.76","3633.39","57.9454","33.8862","25.594","14.9673","4","1","1","0","13","0.0519481","4","4","0.0519481","4","73","85","67","0","73","85","67","0","0","0","2","33","0","0","0","0","0","0","0","0","0","0","0","9","0","24","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","1"
